Stock,Date,Close,Open,High,Volume
TSM,2021-10-04,110.04,111.00,111.71,37073064.00
TSM,2021-10-11,114.86,110.08,114.95,50947501.00
TSM,2021-10-18,114.23,113.42,117.15,31308980.00
TSM,2021-10-25,113.70,114.40,116.02,29747614.00
TSM,2021-11-01,117.80,113.58,119.53,38859342.00
TSM,2021-11-08,118.69,118.39,123.27,49637666.00
TSM,2021-11-15,124.26,119.32,124.80,39409470.00
TSM,2021-11-22,117.09,123.50,128.09,40829492.00
TSM,2021-11-29,119.33,118.36,123.51,47369706.00
TSM,2021-12-06,119.13,118.89,122.58,31013918.00
TSM,2021-12-13,116.32,118.86,120.75,39704061.00
TSM,2021-12-20,120.68,115.92,121.79,28916344.00
TSM,2021-12-27,120.31,121.22,123.66,26563246.00
TSM,2022-01-03,123.50,124.13,135.50,99581381.00
TSM,2022-01-10,140.66,125.11,145.00,120635382.00
TSM,2022-01-18,124.53,136.75,137.18,53353301.00
TSM,2022-01-24,117.61,123.77,126.67,74668858.00
TSM,2022-01-31,121.02,119.52,126.47,41378445.00
TSM,2022-02-07,121.01,122.56,128.66,44899429.00
TSM,2022-02-14,119.31,119.95,124.61,39455658.00
TSM,2022-02-22,111.23,117.50,119.43,59706211.00
TSM,2022-02-28,105.06,109.37,111.11,93331986.00
TSM,2022-03-07,101.41,103.29,105.72,99348668.00
TSM,2022-03-14,106.72,101.52,107.04,69982204.00
TSM,2022-03-21,106.73,106.72,108.19,51940363.00
TSM,2022-03-28,102.79,105.62,109.76,62790383.00
TSM,2022-04-04,99.29,104.02,105.57,60504682.00
TSM,2022-04-11,98.36,98.22,104.50,59377246.00
TSM,2022-04-18,95.68,97.95,101.00,53665968.00
TSM,2022-04-25,92.93,95.05,96.28,66482173.00
TSM,2022-05-02,91.63,92.50,96.07,46308444.00
TSM,2022-05-09,90.96,89.94,91.36,57423827.00
TSM,2022-05-16,90.78,89.87,93.49,42217751.00
TSM,2022-05-23,93.77,91.02,93.82,40864285.00
TSM,2022-05-31,93.77,95.54,96.37,31246166.00
TSM,2022-06-06,88.68,95.00,95.54,41801568.00
TSM,2022-06-13,85.00,86.06,89.81,57036473.00
TSM,2022-06-21,85.92,86.00,87.75,38517875.00
TSM,2022-06-27,77.00,86.92,87.00,57363520.00
TSM,2022-07-05,81.51,74.55,82.16,59653423.00
TSM,2022-07-11,85.63,79.77,86.04,72035943.00
TSM,2022-07-18,86.32,86.06,87.80,49437475.00
TSM,2022-07-25,88.48,86.30,89.21,43372564.00
TSM,2022-08-01,89.77,85.30,90.98,83189665.00
TSM,2022-08-08,90.86,88.98,91.35,59159544.00
TSM,2022-08-15,87.20,90.01,91.94,56159192.00
TSM,2022-08-22,84.74,85.41,87.79,39585866.00
TSM,2022-08-29,80.90,83.91,84.87,47335191.00
TSM,2022-09-06,81.53,81.03,81.66,37539665.00
TSM,2022-09-12,77.89,81.97,82.50,50725238.00
TSM,2022-09-19,77.14,76.55,79.31,29450376.00
V,2021-09-20,231.59,216.96,231.95,36276075.00
V,2021-09-27,230.46,231.72,233.33,35324688.00
V,2021-10-04,230.27,230.00,232.73,31815417.00
V,2021-10-11,230.99,230.01,231.09,32092837.00
V,2021-10-18,231.23,230.18,233.80,25161881.00
V,2021-10-25,211.77,233.45,236.96,73240459.00
V,2021-11-01,216.67,213.49,217.63,65027559.00
V,2021-11-08,212.09,218.37,221.61,56306078.00
V,2021-11-15,200.86,213.62,216.40,93026967.00
V,2021-11-22,197.65,200.00,203.95,58955392.00
V,2021-11-29,196.32,201.00,201.25,68506692.00
V,2021-12-06,213.40,198.77,214.25,53428030.00
V,2021-12-13,211.88,212.45,216.27,49780547.00
V,2021-12-20,216.62,209.09,218.94,27229729.00
V,2021-12-27,216.71,217.68,219.73,20862130.00
V,2022-01-03,216.96,217.52,226.79,46499947.00
