indexkey,Symbol,Date,Volume_Traded
12695,OXY,2022-04-25,32976979.0
12696,OXY,2022-04-26,27151259.0
12697,OXY,2022-04-27,20688475.0
12698,OXY,2022-04-28,20633143.0
12699,OXY,2022-04-29,19208596.0
12700,OXY,2022-05-02,38104698.0
12701,OXY,2022-05-03,24723439.0
12702,OXY,2022-05-04,27975499.0
12703,OXY,2022-05-05,42153578.0
12704,OXY,2022-05-06,30897863.0
12705,OXY,2022-05-09,40093511.0
12706,OXY,2022-05-10,30590159.0
12707,OXY,2022-05-11,36357072.0
12708,OXY,2022-05-12,23862877.0
12709,OXY,2022-05-13,35184864.0
12710,OXY,2022-05-16,38650675.0
12711,OXY,2022-05-17,28834803.0
12712,OXY,2022-05-18,28649823.0
12713,OXY,2022-05-19,27147556.0
12714,OXY,2022-05-20,23803391.0
12715,OXY,2022-05-23,24517338.0
12716,OXY,2022-05-24,19892932.0
12717,OXY,2022-05-25,18245005.0
12718,OXY,2022-05-26,22548615.0
12719,OXY,2022-05-27,20843906.0
12720,OXY,2022-05-31,41019492.0
12721,OXY,2022-06-01,28856914.0
12722,OXY,2022-06-02,23447614.0
12723,OXY,2022-06-03,23397785.0
12724,OXY,2022-06-06,25654112.0
12725,OXY,2022-06-07,25630471.0
12726,OXY,2022-06-08,29262712.0
12727,OXY,2022-06-09,25166623.0
12728,OXY,2022-06-10,27441946.0
12729,OXY,2022-06-13,34448407.0
12730,OXY,2022-06-14,31328407.0
12731,OXY,2022-06-15,29608916.0
12732,OXY,2022-06-16,40604250.0
12733,OXY,2022-06-17,51530833.0
12734,OXY,2022-06-21,31096551.0
12735,OXY,2022-06-22,37845610.0
12736,OXY,2022-06-23,36861532.0
12737,OXY,2022-06-24,45335599.0
12738,OXY,2022-06-27,26793472.0
12739,OXY,2022-06-28,39137647.0
12740,OXY,2022-06-29,31710746.0
12741,OXY,2022-06-30,27244414.0
12742,OXY,2022-07-01,28036794.0
12743,OXY,2022-07-05,40025176.0
12744,OXY,2022-07-06,30682695.0
12745,OXY,2022-07-07,25249707.0
12746,OXY,2022-07-08,25463679.0
12747,OXY,2022-07-11,17906524.0
12748,OXY,2022-07-12,25927818.0
12749,OXY,2022-07-13,19295492.0
12750,OXY,2022-07-14,24478753.0
12751,OXY,2022-07-15,18944543.0
12752,OXY,2022-07-18,20112548.0
12753,OXY,2022-07-19,21616369.0
12754,OXY,2022-07-20,17643134.0
12755,OXY,2022-07-21,16640469.0
12756,OXY,2022-07-22,14198421.0
12757,OXY,2022-07-25,19564448.0
12758,OXY,2022-07-26,20190773.0
12759,OXY,2022-07-27,16625128.0
12760,OXY,2022-07-28,14559448.0
12761,OXY,2022-07-29,19570669.0
12762,OXY,2022-08-01,16725731.0
12763,OXY,2022-08-02,16296754.0
12764,OXY,2022-08-03,32476605.0
12765,OXY,2022-08-04,37999109.0
12766,OXY,2022-08-05,20987457.0
12767,OXY,2022-08-08,18199195.0
12768,OXY,2022-08-09,22286792.0
12769,OXY,2022-08-10,14200071.0
12770,OXY,2022-08-11,21762333.0
12771,OXY,2022-08-12,11746074.0
12772,OXY,2022-08-15,16684691.0
12773,OXY,2022-08-16,16662241.0
12774,OXY,2022-08-17,14889808.0
12775,OXY,2022-08-18,16817996.0
12776,OXY,2022-08-19,79948146.0
12777,OXY,2022-08-22,47928809.0
12778,OXY,2022-08-23,59618731.0
12779,OXY,2022-08-24,39632291.0
12780,OXY,2022-08-25,22784634.0
12781,OXY,2022-08-26,20581076.0
12782,OXY,2022-08-29,29995009.0
12783,OXY,2022-08-30,26152885.0
12784,OXY,2022-08-31,21579096.0
12785,OXY,2022-09-01,21504253.0
12786,OXY,2022-09-02,22793013.0
12787,OXY,2022-09-06,21676426.0
12788,OXY,2022-09-07,22488441.0
12789,OXY,2022-09-08,22052684.0
12790,OXY,2022-09-09,21877168.0
12791,OXY,2022-09-12,26349103.0
12792,OXY,2022-09-13,25446407.0
